model,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,pressure_msl,cloud_cover,pm25,pm10,no2,o3,hour,day_of_week,day_of_month,month,day_of_year,year,week_of_year,is_weekend,is_rush_hour,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,temp_humidity_interaction,wind_pressure_interaction,wind_from_sea,temp_inversion_risk,pollution_accumulation_risk,is_monsoon,is_winter,is_summer,aqi_good,aqi_moderate,aqi_unhealthy_sensitive,aqi_unhealthy,aqi_very_unhealthy,aqi_hazardous,aqi_change_1h,aqi_change_24h,aqi_diff_24h,aqi_ema_24h,aqi_ema_168h,rolling_mean_720h,rolling_mean_2160h,is_holiday,pm25_pm10_ratio,no2_o3_ratio,pollution_index,aqi_rolling_mean_1h,aqi_rolling_std_1h,aqi_rolling_min_1h,aqi_rolling_max_1h,aqi_rolling_range_1h,aqi_rolling_mean_3h,aqi_rolling_std_3h,aqi_rolling_min_3h,aqi_rolling_max_3h,aqi_rolling_range_3h,aqi_rolling_mean_6h,aqi_rolling_std_6h,aqi_rolling_min_6h,aqi_rolling_max_6h,aqi_rolling_range_6h,aqi_rolling_mean_12h,aqi_rolling_std_12h,aqi_rolling_min_12h,aqi_rolling_max_12h,aqi_rolling_range_12h,aqi_rolling_mean_24h,aqi_rolling_std_24h,aqi_rolling_min_24h,aqi_rolling_max_24h,aqi_rolling_range_24h,aqi_rolling_mean_48h,aqi_rolling_std_48h,aqi_rolling_min_48h,aqi_rolling_max_48h,aqi_rolling_range_48h,aqi_rolling_mean_72h,aqi_rolling_std_72h,aqi_rolling_min_72h,aqi_rolling_max_72h,aqi_rolling_range_72h,aqi_rolling_mean_120h,aqi_rolling_std_120h,aqi_rolling_min_120h,aqi_rolling_max_120h,aqi_rolling_range_120h,aqi_rolling_mean_168h,aqi_rolling_std_168h,aqi_rolling_min_168h,aqi_rolling_max_168h,aqi_rolling_range_168h
RandomForest,0.00036998165378414327,0.0004563670168999667,0.0,0.0019278265907491411,0.019976085488672798,0.028968778612007112,0.0031597222222223,1.7539152629976302,1.3071447247449022,0.9582001482994303,0.5730785499603884,0.036694450955886304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018055581384235526,0.0017793289102444726,0.0005874532497896942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09335334150345977,0.0005480732576398933,0.0,0.0,0.024788030268969297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010110201744861103,0.00046245464397303825,0.002574434018211852,0.0,8.26507617556968e-05,0.007236299897943277,0.004455974881243766,0.0,0.06754358370587277,0.016257831744717174,2.3878988253678792,2.020942575673057,0.0,2.404674531373264,1.6936125839183542,0.0,0.030066437778341518,0.0643434690406172,0.011310070315694198,0.07283575728695221,0.07914444888488655,0.00277147846355767,0.14061678995231594,0.0018959593938335535,0.03110364288916941,0.0019559418347245418,0.002717234228041721,0.006035282430505051,0.0006907215425549715,0.0004062498940361897,0.0017426350140812563,0.01563056934921177,0.0,0.00028446111414168196,0.0001527779190628603,0.0,0.000164638529199828,0.004829883990429079,0.0,0.0,0.0,0.0016504786826064821,0.0006620074573316093,0.0007372251357025961,0.001247416304927751,0.00012642377801770424,0.0005562077208920158,0.0,0.00012152777777777596,0.0,0.0,0.00011176253174557602,0.0013983953487106127,0.0009881668124634814,0.0006364308021686443,0.0352880008984303
GradientBoosting,0.005276093664239943,0.0019910529802903325,0.0,0.006933879127518135,0.00011435048236870883,0.013804246166469823,0.0033774861853391696,2.115489290501602,1.4855360959532744,1.4863464451699107,1.284139159242718,0.013316899256184797,0.0008336309848234225,0.0020038172325255858,0.0,0.002180037361937405,0.0,0.0,0.0,0.0018514917990475827,0.018600747602170727,0.0027184323003485045,9.223147919065484e-05,0.013311747053608701,0.0,0.0,0.00010046775363419697,0.00010233282210371827,0.0,0.0,0.8078812433033736,0.00017060034589284662,0.0025502616762059943,0.00011693062747664964,0.0012768022983487186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11456087667050634,0.004317308548888748,0.001303322926992551,0.007374010003747267,0.005650265222609421,0.0002645970672425444,0.00410178743742651,0.0,0.006790978544172909,0.013218250609295159,2.3756054376884213,3.3473350093472596,0.0,4.039723152593139,1.5820062349215978,0.0,0.36646998720525864,0.41264973748877437,0.00277470806861786,0.012973863901463505,0.008526206897298353,0.0015760676385032386,0.3920892564480524,0.0004249624084427899,0.0018351799926942765,0.00018214837963574927,0.0008588011485165878,0.0021356337134184615,6.719811355443519e-05,0.0015654146194756177,0.0010571727595074987,0.0012954659750634406,0.0024038531063604453,0.0003861360330223769,0.00015426914432583891,0.006693589275306195,0.004895084246180473,0.01585434589072141,0.017376685476471167,5.747593860159884e-05,0.007737070803640334,0.0018580533827693198,0.007208839964615071,0.00014043302953244333,0.0005474295701958543,0.0005128661616470409,0.0005457416600304556,0.009646757241616429,0.0003503062764299664,0.0006506545899603145,0.00789278662118908,0.0029774749263344856,0.02555068108729021,0.0008201290098330656,0.00011957763914623635,0.0015672609424949204
ExtraTrees,0.0002171614759806905,0.0004120227063688462,0.0,0.04548754810277029,0.0010604463818908265,0.010562912878193588,0.00021512122408452825,1.7977629546345748,2.2572416622198745,2.5577620990075407,2.593527911043488,0.011613172229025068,0.0003259064371618754,0.00013496151907311737,0.0,0.0002614552580822431,0.0,0.0,0.0,0.0005723367064631505,0.057137263992037786,0.0018034921210526914,0.00035686092699550295,5.8135707483496224e-05,0.0,0.0,0.000291514664562222,0.0002245547750734725,0.0,0.0,0.15314433263786842,0.007128997272531963,0.004265317140103504,0.0009458390674877672,0.002639046015437021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059942281139871385,0.001226533375355808,0.0005314409615113828,0.030659545217295237,0.0013815343091752774,0.017313680004993,0.04503259632080676,0.0,0.005409472308193042,0.005807182081703406,2.4062150973119,2.01770539897808,0.0,2.434624305023351,2.0885043195190294,0.0,0.0037770651220345006,0.13607982240144842,0.017303406178588644,0.009849932607124733,0.1885206309195998,0.028134411872617723,0.19213783263799475,0.003634668429566726,0.008651835047591434,0.0011548079984039425,0.006131347400742411,0.003668379227959508,0.001388145210320352,0.006195824307486604,0.00040454090136286526,0.0031370976633580488,0.03379982797747018,0.00021193343853159134,0.0003075500565867724,0.0013150701115444894,0.013121036542943077,0.004465385445103147,0.00137137982207501,0.0004838657275119419,0.011123878343979406,0.0045243886276330105,0.002048909244431367,0.00027971966178055776,0.0030485278031391447,0.0001142967258804776,0.006516803998467577,0.02131167258628749,0.00037252289284741175,0.005827900198781805,0.0020165925993073726,0.0030341158898072556,0.003042369987186409,3.585670878152152e-05,0.0058167741010301385,0.002483502740554608
LightGBM,0.3399831836189456,0.21863293602650966,0.0,0.4570715388345444,0.049053951030046776,0.1550309866807114,0.0,1.1166274921046202,0.7456546851331781,1.9870178452422966,0.5024515997152779,0.7744458050371552,0.2201030059931023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21138220308591096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.347918140197212,0.0,0.0,0.3108754430897531,0.0,0.12933289409792503,0.04657758155704613,0.0,0.0,0.0,0.16623735032462245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28579187562145936,0.6108639694535115,0.0,0.1363111925638902,0.29058236157849265,0.0,0.4991084681265053,0.0,0.0,0.0,0.0,0.20279323781343803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
